what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1430541960035
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1430541960035
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1430541960035
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1430541960036
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1430541960036
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1430541960036
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1430541960036
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1430541960037
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1430541960037
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1430541960037
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1430541960037
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1430541960038
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1430541960038
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1430541960039
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1430541960039
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1430541960039
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1430541960040
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1430541960040
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1430541960041
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1430541960041
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1430541960041
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1430541960041
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1430541960042
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1430541960042
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1430541960042
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1430541960043
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1430541960043
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1430541960043
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1430541960043
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1430541960044
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1430541960044
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1430541960044
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1430541960045
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1430541960045
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1430541960045
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1430541960046
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1430541960046
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1430541960046
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1430541960047
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1430541960047
os,sysinfo,,,"win32",1430541960049
arch,sysinfo,,,"x86_64",1430541960049
ws,sysinfo,,,"win32",1430541960049
locale,sysinfo,,,"en_US",1430541960049
processors,sysinfo,,,"8",1430541960049
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430541960049
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1430541960049
java.specification.name,sysinfo,,,"Java Platform API Specification",1430541960049
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430541960049
java.specification.version,sysinfo,,,"1.6",1430541960049
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1430541960049
java.version,sysinfo,,,"1.6.0_23",1430541960049
java.vm.info,sysinfo,,,"mixed mode",1430541960049
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1430541960049
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430541960049
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430541960049
java.vm.specification.version,sysinfo,,,"1.0",1430541960049
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1430541960049
java.vm.version,sysinfo,,,"19.0-b09",1430541960049
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1430541960258
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430541960403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430541962396
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1430541964099
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1430541964117
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1430541964123
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430541968325
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1430541969815
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1430541969818
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1430541969819
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1430541969819
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1430541978453
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1430541978486
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1430541978760
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1430541979241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430541981299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430541981302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430541981302
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430541981817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430541982994
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430541984955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542000459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430542000462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430542000462
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430542003583
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1430542004861
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430542004884
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1430542004891
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430542005092
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1430542005368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542010822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542012253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542012757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542028488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542028629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542043679
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430542044614
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1430542044902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542046689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542048845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542052066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542053209
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1430542053213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542053773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542058625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542059168
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1430542059640
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1430542059642
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1430542059645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542062755
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1430542064071
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1430542065397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542065631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542071809
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430542071819
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430542073130
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1430542073273
